2022-08-13 17:48:09,357 | root | INFO | ***********************Login Test Start****************************
2022-08-13 17:48:57,592 | root | INFO | ***********************Email Inserted****************************
2022-08-13 17:48:58,948 | root | INFO | ***********************Password Inserted****************************
2022-08-13 17:48:59,674 | root | INFO | ***********************Login Button Clicked****************************
2022-08-13 17:49:02,304 | root | INFO | ***********************Login Test Passed****************************
2022-08-13 17:49:02,304 | root | INFO | ***********************Login Test End****************************
2022-08-13 17:49:02,308 | root | INFO | ***********************Signup Test Start****************************
2022-08-13 17:49:12,454 | root | INFO | ***********************Email Inserted****************************
2022-08-13 17:49:13,597 | root | INFO | ***********************Password Inserted****************************
2022-08-13 17:49:14,729 | root | INFO | ***********************Confirm Password Inserted****************************
2022-08-13 17:49:15,445 | root | INFO | ***********************Signup Button Clicked****************************
2022-08-13 17:49:17,816 | root | INFO | ***********************Signup Test Passed****************************
2022-08-13 17:49:17,816 | root | INFO | ***********************Signup Test End****************************
